n_realizations,realization_years,model_variant,scenario_years,k_concurrent,n_ranks,n_warm_evals,warm_median_s,warm_q25_s,warm_q75_s,warm_p90_s,warm_min_s,warm_max_s,cold_median_s,evals_per_node_hr,su_per_1000_evals,rss_median_mb,rss_max_mb,node_gb_at_k,node_gb_at_128,fits_128_ranks,objs_ok_frac,obj0,code_sha
1,5,full,5,128,128,256,3.121,2.859,3.2537499999999997,3.3705,2.73,3.396,7.208,147644.98558154437,0.8669444444444444,400.0,404.9,50.6125,50.6125,True,1.0,-0.25,fba0f7d
10,5,full,50,128,128,256,12.082,11.4905,12.3385,12.5305,10.628,12.91,16.554000000000002,38139.38089720245,3.3561111111111113,440.7,444.1,55.5125,55.5125,True,1.0,-0.275,fba0f7d
20,5,full,100,128,128,256,21.879,21.654,22.069000000000003,22.2065,19.595,22.829,26.5615,21061.291649526942,6.0775,485.2,488.8,61.1,61.1,True,1.0,-0.3125,fba0f7d
50,5,full,250,128,128,256,50.9545,50.522,51.361999999999995,51.689499999999995,47.502,53.087,56.8055,9043.362215309737,14.154027777777777,618.3,624.0,78.0,78.0,True,1.0,-0.3,fba0f7d
100,5,full,500,128,128,256,99.80850000000001,98.9645,100.75425,102.38550000000001,96.024,104.07,108.8115,4616.841250995656,27.72458333333334,805.8499999999999,809.8,101.225,101.225,True,1.0,-0.295,fba0f7d
200,5,full,1000,128,128,256,206.797,198.27525,216.4275,220.551,191.158,225.098,231.015,2228.272170292606,57.44361111111111,930.0,937.2,117.15,117.15,True,1.0,-0.30875,fba0f7d
1,10,full,10,128,128,256,5.3615,4.88475,5.525,5.604,4.724,5.726,9.161,85946.09717429824,1.4893055555555557,412.35,416.5,52.0625,52.0625,True,1.0,-0.222222,fba0f7d
10,10,full,100,128,128,256,23.445,23.19925,23.60825,23.7035,20.956,24.58,27.909,19654.51055662188,6.5125,491.8,496.9,62.1125,62.1125,True,1.0,-0.333333,fba0f7d
20,10,full,200,128,128,256,43.370999999999995,43.07875,43.703,44.004000000000005,40.513,44.465,48.209,10624.610915127621,12.047499999999998,579.25,583.6,72.95,72.95,True,1.0,-0.377778,fba0f7d
50,10,full,500,128,128,256,100.785,100.103,101.582,102.26400000000001,97.438,104.009,106.5205,4572.10894478345,27.995833333333334,844.95,848.5,106.0625,106.0625,True,1.0,-0.344444,fba0f7d
100,10,full,1000,128,128,512,202.089,200.22575,205.344,207.8555,195.982,210.843,216.768,2280.183483514689,56.13583333333333,1125.9,1140.3,142.5375,142.5375,True,1.0,-0.321111,fba0f7d
200,10,full,2000,128,128,256,420.639,404.83425,434.05775,443.554,386.974,447.973,454.9055,1095.476168400933,116.84416666666667,1465.45,1470.5,183.8125,183.8125,True,1.0,-0.322778,fba0f7d
1,20,full,20,128,128,256,9.779499999999999,9.084,10.02175,10.1095,8.562,10.445,13.762,47118.97336264636,2.7165277777777774,410.3,413.6,51.7,51.7,True,1.0,-0.105263,fba0f7d
10,20,full,200,128,128,256,46.0155,45.701750000000004,46.32725,46.533,43.187,47.318,50.0085,10014.017016005475,12.782083333333333,573.0,576.5,72.0625,72.0625,True,1.0,-0.321053,fba0f7d
20,20,full,400,128,128,256,84.578,84.108,85.17475,85.6765,81.96,86.516,89.006,5448.225306817376,23.49388888888889,749.6500000000001,753.8,94.225,94.225,True,1.0,-0.284211,fba0f7d
50,20,full,1000,128,128,256,200.40800000000002,199.32549999999998,202.53175000000002,203.83800000000002,197.111,206.696,208.643,2299.3094088060357,55.668888888888894,1278.7,1282.7,160.3375,160.3375,True,1.0,-0.346316,fba0f7d
100,20,full,2000,128,128,256,401.03999999999996,394.61775,406.27375,413.3995,388.757,415.676,423.077,1149.0125673249552,111.39999999999998,1459.5,1465.0,183.125,183.125,True,1.0,-0.329474,fba0f7d
200,20,full,4000,64,64,128,862.2815,837.8675000000001,884.90575,888.6936000000001,778.221,892.779,874.1724999999999,267.1981249742688,479.04527777777776,2429.8,2514.0,157.125,314.25,False,1.0,-0.328421,fba0f7d
1,30,full,30,128,128,256,14.4155,13.64775,14.61375,14.7095,12.508,15.897,18.6835,31965.592591307966,4.004305555555556,447.4,451.4,56.425,56.425,True,1.0,-0.172414,fba0f7d
10,30,full,300,128,128,256,68.61500000000001,68.146,69.01875,69.4385,65.828,70.172,72.7135,6715.73271150623,19.059722222222227,686.3,691.5,86.4375,86.4375,True,1.0,-0.334483,fba0f7d
20,30,full,600,128,128,256,126.35900000000001,125.7175,127.21025,127.963,123.526,130.404,130.6975,3646.75250674665,35.099722222222226,949.3499999999999,954.7,119.3375,119.3375,True,1.0,-0.365517,fba0f7d
50,30,full,1500,128,128,256,300.424,298.956,303.135,304.991,295.117,310.604,311.21299999999997,1533.8321838468298,83.45111111111112,1205.75,1209.9,151.2375,151.2375,True,1.0,-0.350345,fba0f7d
100,30,full,3000,96,96,192,599.591,548.97325,612.9235,629.9467,513.542,637.911,627.779,576.3929078321722,222.07074074074075,1995.45,2000.6,187.55624999999998,250.075,True,1.0,-0.32931,fba0f7d
200,30,full,6000,64,64,128,1271.3049999999998,1233.158,1318.20775,1339.6071,1172.897,1357.744,1440.8495,181.23109717966975,706.2805555555555,3563.4,3578.2,223.6375,447.275,False,1.0,-0.328793,fba0f7d
1,5,trimmed,5,128,128,256,2.7489999999999997,2.5164999999999997,2.8755,2.977,2.409,3.006,6.8045,167624.59076027648,0.763611111111111,398.6,403.0,50.375,50.375,True,1.0,-0.25,fba0f7d
10,5,trimmed,50,128,128,256,10.536000000000001,9.7715,10.69825,10.767,9.221,11.041,14.592,43735.76309794988,2.926666666666667,434.15,439.7,54.9625,54.9625,True,1.0,-0.275,fba0f7d
20,5,trimmed,100,128,128,256,18.918,18.351,19.08125,19.179499999999997,16.849,19.747,23.232,24357.754519505233,5.255,473.5,478.4,59.8,59.8,True,1.0,-0.3125,fba0f7d
50,5,trimmed,250,128,128,256,43.796,43.44125,44.208,44.5725,40.561,45.364,49.411500000000004,10521.508813590282,12.165555555555555,592.7,596.6,74.575,74.575,True,1.0,-0.3,fba0f7d
100,5,trimmed,500,128,128,256,87.1045,86.40475,87.85875,88.62450000000001,83.347,90.283,95.74799999999999,5290.19740656338,24.195694444444445,792.3,796.6,99.575,99.575,True,1.0,-0.295,fba0f7d
200,5,trimmed,1000,128,128,256,173.8235,169.9585,179.6,184.473,164.301,187.567,194.9495,2650.9649155608995,48.284305555555555,867.55,872.7,109.0875,109.0875,True,1.0,-0.30875,fba0f7d
1,10,trimmed,10,128,128,256,4.707,4.343500000000001,4.944,5.023,4.216,5.076,8.8035,97896.74952198853,1.3075,409.3,412.8,51.6,51.6,True,1.0,-0.222222,fba0f7d
10,10,trimmed,100,128,128,256,20.61,20.27075,20.80225,20.933,18.451,21.27,24.9565,22358.078602620088,5.725,481.85,486.5,60.8125,60.8125,True,1.0,-0.333333,fba0f7d
20,10,trimmed,200,128,128,256,37.601,37.33925000000001,37.9225,38.158,34.837,38.641,41.811,12254.993218265472,10.444722222222222,559.8,564.6,70.575,70.575,True,1.0,-0.377778,fba0f7d
50,10,trimmed,500,128,128,256,87.89349999999999,87.20675,88.628,89.2975,84.171,91.841,93.135,5242.708505179565,24.414861111111108,797.9,802.1,100.2625,100.2625,True,1.0,-0.344444,fba0f7d
100,10,trimmed,1000,128,128,512,173.8135,172.33575000000002,175.9655,177.7137,168.721,180.515,184.66750000000002,2651.1174333409085,48.281527777777775,1194.4,1198.8,149.85,149.85,True,1.0,-0.321111,fba0f7d
200,10,trimmed,2000,128,128,256,357.302,343.493,367.84225,374.2885,334.341,381.256,387.226,1289.6653251311216,99.25055555555555,1343.0,1350.4,168.8,168.8,True,1.0,-0.322778,fba0f7d
1,20,trimmed,20,128,128,256,8.665,8.0305,8.95625,9.054,7.634,9.204,12.6245,53179.4575879977,2.4069444444444446,406.3,409.1,51.1375,51.1375,True,1.0,-0.105263,fba0f7d
10,20,trimmed,200,128,128,256,40.0105,39.7275,40.26525,40.445499999999996,37.06,41.1,44.0555,11516.976793591683,11.114027777777778,553.8,557.9,69.7375,69.7375,True,1.0,-0.321053,fba0f7d
20,20,trimmed,400,128,128,256,73.217,72.7055,73.61275,74.3555,70.288,77.12,77.3895,6293.62033407542,20.338055555555556,711.4,715.8,89.475,89.475,True,1.0,-0.284211,fba0f7d
50,20,trimmed,1000,128,128,256,172.4185,171.24175,173.49800000000002,174.84300000000002,168.815,178.302,177.909,2672.5670389198376,47.89402777777778,1184.3,1188.5,148.5625,148.5625,True,1.0,-0.346316,fba0f7d
100,20,trimmed,2000,128,128,256,346.543,342.81075,350.863,355.8395,338.081,360.915,363.44849999999997,1329.7051159596356,96.26194444444444,1335.6,1343.2,167.9,167.9,True,1.0,-0.329474,fba0f7d
200,20,trimmed,4000,96,96,192,689.8744999999999,649.511,722.9025,736.6084,579.768,756.172,743.0174999999999,500.96068197911364,255.50907407407402,2228.9,2276.9,213.45937500000002,284.6125,False,1.0,-0.328421,fba0f7d
1,30,trimmed,30,128,128,256,12.9145,12.09825,13.1045,13.1985,11.326,14.463,16.997,35680.82388013473,3.587361111111111,442.6,445.9,55.7375,55.7375,True,1.0,-0.172414,fba0f7d
10,30,trimmed,300,128,128,256,59.486999999999995,59.04175,59.925,60.23,56.666,61.743,63.548500000000004,7746.230268798226,16.524166666666666,658.1,663.5,82.9375,82.9375,True,1.0,-0.334483,fba0f7d
20,30,trimmed,600,128,128,256,109.2585,108.64250000000001,110.085,110.73349999999999,106.167,114.49,113.503,4217.520833619353,30.34958333333333,892.3499999999999,895.8,111.975,111.975,True,1.0,-0.365517,fba0f7d
50,30,trimmed,1500,128,128,256,259.0725,257.4315,260.73675000000003,262.5295,252.78,265.857,265.43600000000004,1778.6526937440292,71.96458333333334,1113.7,1121.5,140.1875,140.1875,True,1.0,-0.350345,fba0f7d
100,30,trimmed,3000,96,96,192,516.3465,466.771,525.41175,536.347,442.952,544.083,531.072,669.3179870493942,191.23944444444444,1813.0500000000002,1821.0,170.71875,227.625,True,1.0,-0.32931,fba0f7d
200,30,trimmed,6000,64,64,128,1084.9155,1051.842,1106.57225,1137.6413,1001.261,1149.143,1202.4155,212.3667695779072,602.7308333333333,3211.05,3215.6,200.975,401.95,False,1.0,-0.328793,fba0f7d
